line,title,author,cited_num,relate,reverse_relate
Deletion of steroid receptor coactivator-3 gene ameliorates hepatic steatosis.,Deletion of steroid receptor coactivator-3 gene ameliorates hepatic steatosis,X Ma X Li,22,88.89%,88.89%
The Expression and Pathophysiological Role of Osteopontin in Graves’Disease.,The expression and pathophysiological role of osteopontin in Graves' disease,X Ma,14,44.44%,40.00%
Impairment of Regulatory Capacity of CD4+CD25+ Regulatory T Cells Mediated by Dendritic Cell Polarization and Hyperthyroidism in Graves’ Disease.,Impairment of regulatory capacity of CD4+ CD25+ regulatory T cells mediated by dendritic cell polarization and hyperthyroidism in Graves' disease,,88,36.84%,35.00%
Association study of interleukin-12A gene polymorphisms with Graves’disease in two Chinese populations.,Association study of interleukin‐12A gene polymorphisms with Graves' disease in two Chinese populations,,17,75.00%,69.23%
protein-coupled receptor 48 upregulates estrogen receptor expression via cAMP/PKA signaling in the male reproductive tract.,G protein-coupled receptor 48 upregulates estrogen receptor α expression via cAMP/PKA signaling in the male reproductive tract,JQ Wang J Yang,43,93.33%,82.35%
Analysis of Recently Identified Osteoporosis Susceptibility Genes in Han Chinese Women.,Analysis of recently identified osteoporosis susceptibility genes in Han Chinese women,,57,45.45%,45.45%
SRC-3 deficient mice developed fat redistribution under high-fat diet.,SRC-3 deficient mice developed fat redistribution under high-fat diet,L Xu X Ma,4,88.89%,88.89%
Immunohistochemical expression of CXCR4 in thyroid carcinomas and thyroid benign lesions.,Immunohistochemical expression of CXCR4 in thyroid carcinomas and thyroid benign lesions,,19,90.91%,90.91%
Selection of reference genes for quantitative real-time reverse transcription-polymerase chain reaction in concanavalin A-induced hepatitis model.,Selection of reference genes for quantitative real-time reverse transcription-polymerase chain reaction in concanavalin A-induced hepatitis model,G Shi D Feng Y Xu J Wang,11,93.75%,93.75%
"Association analysis of polymorphisms in IL-3, IL-4, IL-5, IL-9, and IL-13 with Graves’disease.","Association analysis of polymorphisms in IL-3, IL-4, IL-5, IL-9, and IL-13 with Graves' disease",,25,92.31%,85.71%
Nuclear-cytoplasmic shuttling of menin regulates nuclear translocation of {beta}-catenin.,Nuclear-cytoplasmic shuttling of menin regulates nuclear translocation of β-catenin,,77,88.89%,88.89%
Loss of steroid receptor co-activator-3 attenuates carbon tetrachloride-induced murine hepatic injury and fibrosis.,Loss of steroid receptor co-activator-3 attenuates carbon tetrachloride-induced murine hepatic injury and fibrosis,X Ma H Chen,10,92.31%,92.31%
High frequency of down-regulation of E-cadherin detected in benign sporadic insulinomas by multiplex ligation-dependent probe amplification.,High frequency of down-regulation of E-cadherin detected in benign sporadic insulinomas by multiplex ligation-dependent probe amplification,,2,93.75%,93.75%
Increased TTS abrogates IDO-mediated CD4(+) T cells suppression in patients with Graves´ disease.,Increased TTS abrogates IDO-mediated CD4+ T cells suppression in patients with Graves' disease,,8,76.92%,76.92%
Clinical and genetic analysis for four Chinese families with Prader-Willi syndrome.,Clinical and genetic analysis for four Chinese families with Prader–Willi syndrome,Y Zhang H Zhang,3,81.82%,81.82%
"Relationships between insulin-like growth factor-I (IGF-I) and OPG, RANKL, bone mineral density in healthy Chinese women.","Relationships between insulin-like growth factor-I (IGF-I) and OPG, RANKL, bone mineral density in healthy Chinese women",JM Liu,38,93.75%,93.75%
Estrogen regulates KiSS1 gene expression through estrogen receptor {alpha} and SP protein complexes.,Estrogen regulates KiSS1 gene expression through estrogen receptor α and SP protein complexes,,71,84.62%,84.62%
RET proto-oncogene mutations are restricted to codons 634 and 918 in mainland Chinese families with MEN2A and MEN2B.,RET proto‐oncogene mutations are restricted to codons 634 and 918 in mainland Chinese families with MEN2A and MEN2B,,38,88.89%,88.89%
L-selectin gene polymorphisms in Graves' disease.,l‐selectin gene polymorphisms in Graves' disease,,14,66.67%,66.67%
The clinical patterns and RET proto-oncogene in fifteen multiple endocrine neoplasia type 2A pedigrees.,The clinical patterns and RET proto-oncogene in fifteen multiple endocrine neoplasia type 2A pedigrees,JJ Li,6,92.86%,92.86%
"GCIP/CCNDBP1, a helix-loop-helix protein, suppresses tumorigenesis.","GCIP/CCNDBP1, a helix–loop–helix protein, suppresses tumorigenesis",,61,66.67%,66.67%
Osteoporotic fractures in Asia: risk factors and strategies for prevention.,Osteoporotic fractures in Asia: risk factors and strategies for prevention,,42,90.00%,90.00%
Metabolic syndrome in patients with adrenocortical adenoma.,Metabolic syndrome in patients with adrenocortical adenoma,W Zhang,7,85.71%,85.71%
Clinical characteristics and surgery outcomes of unilateral nodular adrenal hyperplasia in primary aldosteronism: study of 145 cases.,Clinical characteristics and surgery outcomes of unilateral nodular adrenal hyperplasia in primary aldosteronism: study of 145 cases,JC Wu ZY Tang W Zhang,2,94.12%,94.12%
"LOH on chromosome 11q, but not SDHD and Men1 mutations was frequently detectable in Chinese patients with pheochromocytoma and paraganglioma.","LOH on chromosome 11q, but not SDHD and Men1 mutations was frequently detectable in Chinese patients with pheochromocytoma and paraganglioma",,10,95.00%,95.00%
The relationship between quantitative ultrasound and osteoporosis self-assessment tool for Asians (OSTA) score and non-vertebral fracture in postmenopausal Chinese women..,The relationship between quantitative ultrasound and osteoporosis self-assessment tool for Asians (OSTA) score and non-vertebral fracture in postmenopausal …,XY Li JG Wang WQ Wang,2,85.00%,94.44%
Globular adiponectin augments insulin secretion from pancreatic islet beta cells at high glucose concentrations.,Globular adiponectin augments insulin secretion from pancreatic islet β cells at high glucose concentrations,,54,85.71%,85.71%
Risk factors for cardiovascular autonomic neuropathy and their prognostic implications in type 2 diabetes mellitus.,Risk factors for cardiovascular autonomic neuropathy and their prognostic implications in type 2 diabetes mellitus,ZY Tang JC Wu,6,93.33%,93.33%
"Phenotype-genotype correlation in eight Chinese 17alpha-hydroxylase/17,20 lyase-deficiency patients with five novel mutations of CYP17A1 gene.","Phenotype-genotype correlation in eight Chinese 17α-hydroxylase/17, 20 lyase-deficiency patients with five novel mutations of CYP17A1 gene",S Zheng,63,86.67%,81.25%
Leprechaunism: an inherited insulin resistance syndrome caused by the defect of insulin receptor. .,Leprechaunism: an inherited insulin resistance syndrome caused by the defect of insulin receptor,,4,85.71%,92.31%
"Knockdown of apolipoprotein B, an atherogenic apolipoprotein, in HepG2 cells by lentivirus-mediated siRNA.","Knockdown of apolipoprotein B, an atherogenic apolipoprotein, in HepG2 cells by lentivirus-mediated siRNA",,23,92.31%,92.31%
Serum CRP levels are equally elevated in newly diagnosed type 2 diabetes and impaired glucose tolerance and related to adiponectin levels and insulin sensitivity.,Serum CRP levels are equally elevated in newly diagnosed type 2 diabetes and impaired glucose tolerance and related to adiponectin levels and insulin sensitivity,,75,95.83%,95.83%
Elevated serum levels of interleukin-18 are associated with insulin resistance in women with polycystic ovary syndrome.,Elevated serum levels of interleukin-18 are associated with insulin resistance in women with polycystic ovary syndrome,,54,93.75%,93.75%
Mutation analysis of SCNN1B in a family with Liddle's syndrome.,Mutation analysis of SCNN1B in a family with Liddle's syndrome,,19,90.00%,90.00%
Genetic diagnosis of monogenic inherited endocrine and metabolic diseases: from bench to bedside.,Genetic diagnosis of monogenic inherited endocrine and metabolic diseases: from bench to bedside,,0,92.31%,92.31%
Thyroid-associated ophthalmopathy: a clinical study of 381 cases..,Thyroid-associated ophthalmopathy: a clinical study of 381 cases,,3,87.50%,87.50%
Six cases of ectopic ACTH syndrome caused by thymic carcinoid.,Six cases of ectopic ACTH syndrome caused by thymic carcinoid,,18,90.00%,90.00%
Mutation screening in Chinese hypokalemic periodic paralysis patients.,Mutation screening in Chinese hypokalemic periodic paralysis patients,,52,87.50%,87.50%
Hyperglycaemia after glucose loading is a major predictor of preclinical atherosclerosis in nondiabetic subjects.,Hyperglycaemia after glucose loading is a major predictor of preclinical atherosclerosis in nondiabetic subjects,,45,92.86%,92.86%
Study of the impact of candidate genes on bone mineral density in postmenopausal women.,Study of the impact of candidate genes on bone mineral density in postmenopausal women,JM Liu,6,92.86%,92.86%
Glucose and lipid metabolism in relation to novel polymorphisms in the 5'-AMP-activated protein kinase gamma2 gene in Chinese.,Glucose and lipid metabolism in relation to novel polymorphisms in the 5′-AMP-activated protein kinase γ2 gene in Chinese,,21,83.33%,83.33%
A multicenter clinic study of slow-release-gliclazide in type 2 diabetes mellitus.,A multicenter clinic study of slow-release-gliclazide in type 2 diabetes mellitus,,0,90.91%,90.91%
Autosomal dominant neurohypophyseal diabetes insipidus with linkage to chromosome 20p13 but without mutations in the AVP-NPII gene.,Autosomal dominant neurohypophyseal diabetes insipidus with linkage to chromosome 20p13 but without mutations in the AVP-NPII gene,,22,94.12%,94.12%
Hypomethylation in the promoter region of POMC gene correlates with ectopic overexpression in thymic carcinoids.,Hypomethylation in the promoter region of POMC gene correlates with ectopic overexpression in thymic carcinoids,X Li,31,93.33%,93.33%
Hereditary spinocerebellar ataxia--a family pedigree with SCA3 gene mutation.,Hereditary spinocerebellar ataxia--a family pedigree with SCA3 gene mutation,Y Fu HZ Yu GP Yu YJ Zhao,0,88.89%,88.89%
SRY negative 46XX male syndrome--a case report..,"46, XX male sex reversal syndrome: a case report and review of the genetic basis",J Chen,35,28.57%,13.33%
Structure and functional analysis of unclassified genes strongly expressed in human visceral adipose tissue. .,Structure and functional analysis of unclassified genes strongly expressed in human visceral adipose tissue,,0,86.67%,92.86%
Changes of growth hormone and insulin-like growth factor axis in patients with anorexia nervosa and its clinical significance.,Changes of growth hormone and insulin-like growth factor axis in patients with anorexia nervosa and its clinical significance,JL Lu JM Liu JF Tang XH Jiang,0,94.44%,94.44%
"Relationships between the changes of serum levels of OPG and RANKL with age, menopause, bone biochemical markers and bone mineral density in Chinese women aged 20-75..","Relationships between the changes of serum levels of OPG and RANKL with age, menopause, bone biochemical markers and bone mineral density in Chinese …",JM Liu,68,84.62%,95.65%
"Multicenter, randomized, positive-controlled clinical study for the effects of nerotropin on diabetic neuropathy.","Multicenter, randomized, positive-controlled clinical study for the effects of nerotropin on diabetic neuropathy",W Zhang,3,92.31%,92.31%
Clinical and molecular research in a case of familial Carney complex..,Clinical and molecular research in a case of familial Carney complex,HD Song XY Li,1,90.91%,90.91%
A multicenter and open study on efficacy and safety of sibutramine in obese subjects.,A multicenter and open study on efficacy and safety of sibutramine in obese subjects,,4,92.86%,92.86%
Multiple endocrine neoplasia type 2B caused by a single point mutation in RET proto-oncogene in a Chinese patient..,Multiple endocrine neoplasia type 2B caused by a single point mutation in RET proto-oncogene in a Chinese patient,,5,94.44%,94.44%
The relationship between body composition measured with bioelectric impedance analysis and bone mass in female.,The relationship between body composition measured with bioelectric impedance analysis and bone mass in female,JM Liu LZ Zhang,6,93.33%,93.33%
"The relationships between changes of serum osteoprotegerin, nuclear factor-kappa B ligand receptor activator, and age, menopause, bone biochemical markers and bone mineral densities in women aged 20 - 75.","The relationships between changes of serum osteoprotegerin, nuclear factor-kappa B ligand receptor activator, and age, menopause, bone biochemical markers and …",JM Liu,8,65.52%,105.00%
Relationship between body composition and bone mineral density in healthy young and premenopausal Chinese women.,Relationship between body composition and bone mineral density in healthy young and premenopausal Chinese women,LZ Zhang,72,93.33%,93.33%
A study of the degrees of insulin resistance and first-phase insulin secretion of beta-cells in metabolic syndrome patients with different glucose tolerance.,A study of the degrees of insulin resistance and first-phase insulin secretion of beta-cells in metabolic syndrome patients with different glucose tolerance,YF Zhang,3,95.45%,95.45%
"Fasting serum free fatty acid, insulin sensitivity index and serum lipid levels in individuals with different body mass index and glucose tolerance.","Fasting serum free fatty acid, insulin sensitivity index and serum lipid levels in individuals with different body mass index and glucose tolerance",JF Tang,2,95.45%,95.45%
Association of calcitonin receptor gene polymorphism with bone mineral density in Shanghai women.,Association of calcitonin receptor gene polymorphism with bone mineral density in Shanghai women,JM Liu LZ Zhang,13,92.31%,92.31%
Relationship between body composition and bone mineral density in healthy premenopausal women.,Relationship between body composition and bone mineral density in healthy premenopausal women,JM Liu,2,91.67%,91.67%
A case report and pedigree study of a single point mutation in RET proto-oncogene and type 2B multiple endocrine neoplasia.,A case report and pedigree study of a single point mutation in RET proto-oncogene and type 2B multiple endocrine neoplasia,J Hong,1,95.00%,95.00%
"The steroid receptor coactivator SRC-3 (p/CIP/RAC3/AIB1/ACTR/TRAM-1) is required for normal growth, puberty, female reproductive function, and mammary gland development.","The steroid receptor coactivator SRC-3 (p/CIP/RAC3/AIB1/ACTR/TRAM-1) is required for normal growth, puberty, female reproductive function, and mammary gland …",,519,89.47%,94.44%
Aberrant intrinsic brain activity and cognitive deficit in first-episode treatment-naive patients with schizophrenia.,Aberrant intrinsic brain activity and cognitive deficit in first-episode treatment-naive patients with schizophrenia,,46,92.31%,92.31%
Volume increases in putamen associated with positive symptom reduction in previously drug-naive schizophrenia after 6 weeks antipsychotic treatment.,Volume increases in putamen associated with positive symptom reduction in previously drug-naive schizophrenia after 6 weeks antipsychotic treatment,,24,94.44%,94.44%
Association of cerebral deficits with clinical symptoms in antipsychotic-naive first-episode schizophrenia: an optimized voxel-based morphometry and resting state functional connectivity study.,Association of cerebral deficits with clinical symptoms in antipsychotic-naive first-episode schizophrenia: an optimized voxel-based morphometry and resting state …,,181,80.95%,94.44%
"A quantitative association study between schizotypal traits and COMT, PRODH and BDNF genes in a healthy Chinese Population.","A quantitative association study between schizotypal traits and COMT, PRODH and BDNF genes in a healthy Chinese population",,58,94.44%,94.44%
Identifying potential risk haplotypes for schizophrenia at DTNBP1 locus in Han Chinese and Scottish populations.,Identifying potential risk haplotypes for schizophrenia at the DTNBP1 locus in Han Chinese and Scottish populations,PC Sham,70,93.33%,87.50%
"Identification of a novel neuregulin 1 at-risk haplotype in Han schizophrenia Chinese patients, but no association with the Icelandic/Scottish risk haplotype.","Identification of a novel neuregulin 1 at-risk haplotype in Han schizophrenia Chinese patients, but no association with the Icelandic/Scottish risk haplotype",X Liu,172,100.00%,95.24%
Interference-aware QoS Multicast Routing for Smart Grid,Interference-aware QoS multicast routing for smart grid,Q Zhu,9,42.86%,42.86%
Cooperative bargaining game-theoretic methodology for 5G wireless heterogeneous networks,Cooperative bargaining game‐theoretic methodology for 5G wireless heterogeneous networks,C Yang A Anpalagan,6,88.89%,88.89%
Efficient resource allocation scheme to maximise number of users with quality of service demands in small cells,Efficient resource allocation scheme to maximise number of users with quality of service demands in small cells,,0,100.00%,100.00%
On the Relation Between PDA and MMSE-ISDIC,On the relation between PDA and MMSE-ISDIC,,22,71.43%,71.43%
A novel distributed algorithm for media access control address assignment in wireless sensor networks,A novel distributed algorithm for media access control address assignment in wireless sensor networks,M Sheng,0,100.00%,100.00%
Broadcast scheduling with MIMO links in multi-hop ad hoc networks,Broadcast scheduling with MIMO links in multi-hop ad hoc networks,G Zhang,3,100.00%,100.00%
Further Results on the Maximum-Likelihood IFO Estimation for OFDM Systems,Further Results on the Maximum-Likelihood IFO Estimation for OFDM Systems,Z Lu,2,100.00%,100.00%
A distributed synchronous reservation multiple access control protocol for mobile Ad hoc networks,A distributed synchronous reservation multiple access control protocol for mobile Ad hoc networks,,5,100.00%,100.00%
Design of the Periodic Training Sequence for Joint Channel and Frequency Estimation in MIMO Frequency-Selective Channels,Design of the periodic training sequence for joint channel and frequency estimation in MIMO frequency-selective channels,Z Lu,8,43.75%,43.75%
Serially concatenated continuous phase modulation with reduced iterative demodulation and detection,Serially concatenated continuous phase modulation with reduced iterative demodulation and detection,,4,100.00%,100.00%
A reduced state SISO iterative decoding algorithm for serially concatenated continuous phase modulation.,A reduced state SISO iterative decoding algorithm for serially concatenated continuous phase modulation,,2,92.31%,92.31%
Supporting service differentiation with enhancements of the IEEE 802.11 MAC protocol: Models and analysis.,Supporting service differentiation with enhancements of the IEEE 802.11 MAC protocol: models and analysis,R Battiti,54,85.71%,85.71%
A Hierarchical Digital Modulation Classification Algorithm for Adaptive Wireless Communication Systems,A hierarchical digital modulation classification algorithm for adaptive wireless communication systems,,5,18.18%,18.18%
Topology-transparent reservation time division multiple access protocol with MIMO links in multihop ad hoc networks,Topology-transparent reservation time division multiple access protocol with MIMO links in multihop ad hoc networks,G Zhang M Sheng,10,100.00%,100.00%
A novel self-adaptive transmission scheme over an IEEE 802.11 WLAN for supporting multi-service.,A novel self‐adaptive transmission scheme over an IEEE 802.11 WLAN for supporting multi‐service,,11,84.62%,84.62%
Topology-transparent schedule with reservation and carrier sense for multihop ad hoc networks,Topology-transparent schedule with reservation and carrier sense for multihop ad hoc networks,G Zhang,16,100.00%,100.00%
Virtual Grid Spatial Reusing Algorithm for MAC Address Assignment in Wireless Sensor Network,[CITATION][C] Virtual grid spatial reusing algorithm for MAC address assignment in wireless sensor network,M Sheng,8,30.77%,28.57%
Internet end-to-end delay dynamics 1 1 This project was supported by the National Natural Science Foundation of China,Internet end-to-end delay dynamics11This project was supported by the National Natural Science Foundation of China (60132030; 60572147).,C Zhu,2,77.78%,82.35%
MC-CDMA for optical wireless communications,[CITATION][C] MC-CDMA for optical wireless communications,,0,100.00%,83.33%
A novel integer frequency offset estimator for OFDM,A novel integer frequency offset estimator for OFDM,,1,100.00%,100.00%
Relative degree adaptive flooding broadcast algorithm for ad hoc networks,Relative degree adaptive flooding broadcast algorithm for ad hoc networks,M Sheng,52,100.00%,100.00%
Hybrid splitting algorithm for wireless MAC,Hybrid splitting algorithm for wireless MAC,M Sheng,8,100.00%,100.00%
A Novel Wavelet Packet Division Multiplexing Based on Maximum Likelihood Algorithm and Optimum Pilot Symbol Assisted Modulation for Rayleigh Fading Channels,A novel wavelet packet division multiplexing based on maximum likelihood algorithm and optimum pilot symbol assisted modulation for Rayleigh fading channels,,14,23.81%,23.81%
High reliable multiuser detector based on strong tracking filter,Recent advances in high-speed underwater acoustic communications,M Stojanovic,788,0.00%,0.00%
Maximum likelihood method for integer frequency offset estimation of OFDM systems,Maximum likelihood method for integer frequency offset estimation of OFDM systems,,35,100.00%,100.00%
Robust modulation classifier based on cumulants for MDPSK with frequency offset,Robust modulation classifier based on cumulants for MDPSK with frequency offset,,0,100.00%,100.00%
MAC protocol for mobile ad hoc network with smart antennas,MAC protocol for mobile ad hoc network with smart antennas,M Sheng,41,100.00%,100.00%
Routing protocol with QoS guarantees for ad-hoc network,Routing protocol with QoS guarantees for ad-hoc network,M Sheng,45,100.00%,100.00%
A universal receiver structure for MDPSK signals,A universal receiver structure for MDPSK signals,,0,100.00%,100.00%
Timing estimator for MC-CDMA system,Timing estimator for MC-CDMA system,,6,100.00%,100.00%
A user-dependent Perfect-scheduling Multiple Access protocol for voice-data integration in wireless networks,A USER-DEPENDENT PERFECT-SCHEDULING MULTIPLE ACCESS PROTOCOL FOR VOICE-DATA INTEGRATION IN WIRELESS NETWORKS,,0,8.33%,8.33%
Detecting horizontal gene transfer with T-REX and RHOM programs.,Detecting horizontal gene transfer with T-REX and RHOM programs,L Wang,4,88.89%,88.89%
"Phylogenetic position of Ephedra rhytidosperma, a species endemic to China: evidence from chloroplast and ribosomal DNA sequences.","Phylogenetic position of Ephedra rhytidosperma, a species endemic to China: evidence from chloroplast and ribosomal DNA sequences",,12,94.12%,94.12%
Chemotypical variability of leaf oils in Elephantopus scaber from 12 locations in China.,Chemotypical variability of leaf oils in Elephantopus scaber from 12 locations in China,L Wang J Liu,10,92.31%,92.31%
Detecting correlation between sequence and expression divergences in a comparative analysis of human serpin genes.,Detecting correlation between sequence and expression divergences in a comparative analysis of human serpin genes,,6,93.33%,93.33%
"Chemical composition of the essential oil of Rhodiola quadrifida from Xinjiang, China.","Chemical composition of the essential oil of Rhodiola quadrifida from Xinjiang, China",,7,91.67%,91.67%
"A molecular docking model of SARS-CoV S1 protein in complex with its receptor, human ACE2.","A molecular docking model of SARS-CoV S1 protein in complex with its receptor, human ACE2",,6,93.33%,93.33%
Expression and characterization of the carboxyl esterase Rv3487c from Mycobacterium tuberculosis.,Expression and characterization of the carboxyl esterase Rv3487c from Mycobacterium tuberculosis,M Zhang,54,90.91%,90.91%
MPSS: an integrated database system for surveying a set of proteins.,MPSS: an integrated database system for surveying a set of proteins,,11,90.91%,90.91%
The effect of water depth on seedling emergence and early growth of Vallisneria natans in a eutrophic lake with reduced transparency.,The effect of water depth on seedling emergence and early growth of Vallisneria natans in a eutrophic lake with reduced transparency,,3,95.24%,95.24%
"Phylogenetic relationships of salangid fishes (Osmeridae, Salanginae) with comments on phylogenetic placement of the salangids based on mitochondrial DNA sequences.","Phylogenetic relationships of salangid fishes (Osmeridae, Salanginae) with comments on phylogenetic placement of the salangids based on mitochondrial DNA …",JA Lopez,26,90.00%,94.74%
Statistical analysis on adaptive evolution of SQUA genes in angiosperms.,Statistical analysis on adaptive evolution of SQUA genes in angiosperms,,1,90.00%,90.00%
Multilingual collection retrieving via ontology alignment.,Multilingual Collection Retrieving Via Ontology Alignment.,L Zhang G Wu,7,16.67%,16.67%
"Local competitive effects of introduced Spartina alterniflora on Scirpus mariqueter at Dongtan of Chongming Island, the Yangtze river estuary and their potential ecological consequences.","Local competitive effects of introduced Spartina alterniflora on Scirpus mariqueter at Dongtan of Chongming Island, the Yangtze River estuary and their potential …",,159,83.33%,90.91%
On the Relation Between PDA and MMSE-ISDIC,On the relation between PDA and MMSE-ISDIC,,22,71.43%,71.43%
A novel distributed algorithm for media access control address assignment in wireless sensor networks,A novel distributed algorithm for media access control address assignment in wireless sensor networks,M Sheng,0,100.00%,100.00%
Broadcast scheduling with MIMO links in multi-hop ad hoc networks,Broadcast scheduling with MIMO links in multi-hop ad hoc networks,G Zhang,3,100.00%,100.00%
Further Results on the Maximum-Likelihood IFO Estimation for OFDM Systems,Further Results on the Maximum-Likelihood IFO Estimation for OFDM Systems,Z Lu,2,100.00%,100.00%
A distributed synchronous reservation multiple access control protocol for mobile Ad hoc networks,A distributed synchronous reservation multiple access control protocol for mobile Ad hoc networks,,5,100.00%,100.00%
Design of the Periodic Training Sequence for Joint Channel and Frequency Estimation in MIMO Frequency-Selective Channels,Design of the periodic training sequence for joint channel and frequency estimation in MIMO frequency-selective channels,Z Lu,8,43.75%,43.75%
Serially concatenated continuous phase modulation with reduced iterative demodulation and detection,Serially concatenated continuous phase modulation with reduced iterative demodulation and detection,,4,100.00%,100.00%
A reduced state SISO iterative decoding algorithm for serially concatenated continuous phase modulation.,A reduced state SISO iterative decoding algorithm for serially concatenated continuous phase modulation,,2,92.31%,92.31%
Supporting service differentiation with enhancements of the IEEE 802.11 MAC protocol: Models and analysis.,Supporting service differentiation with enhancements of the IEEE 802.11 MAC protocol: models and analysis,R Battiti,54,85.71%,85.71%
A Hierarchical Digital Modulation Classification Algorithm for Adaptive Wireless Communication Systems,A hierarchical digital modulation classification algorithm for adaptive wireless communication systems,,5,18.18%,18.18%
Topology-transparent reservation time division multiple access protocol with MIMO links in multihop ad hoc networks,Topology-transparent reservation time division multiple access protocol with MIMO links in multihop ad hoc networks,G Zhang M Sheng,10,100.00%,100.00%
A novel self-adaptive transmission scheme over an IEEE 802.11 WLAN for supporting multi-service.,A novel self‐adaptive transmission scheme over an IEEE 802.11 WLAN for supporting multi‐service,,11,84.62%,84.62%
