line,title,author,cited_num,relate,reverse_relate
Efficacy of Bone Marrow-Derived Stem Cells in Strengthening Osteoporotic Bone in a Rabbit Model,Efficacy of bone marrow–derived stem cells in strengthening osteoporotic bone in a rabbit model,J Goh,93,35.71%,35.71%
Can the Therapeutic Advantages of Allogenic Umbilical Cord Blood???Derived Stem Cells and Autologous Bone Marrow???Derived Mesenchymal Stem Cells Be Combined and Synergized?,Can the Therapeutic Advantages of Allogenic Umbilical Cord Blood–Derived Stem Cells and Autologous Bone Marrow–Derived Mesenchymal Stem Cells Be …,BC Heng T Cao,7,72.73%,89.47%
"Comparative Study of the Ability of Mesenchymal Stem Cells Derived from Bone Marrow, Periosteum, and Adipose Tissue in Treatment of Partial Growth Arrest in Rabbit","Comparative study of the ability of mesenchymal stem cells derived from bone marrow, periosteum, and adipose tissue in treatment of partial growth arrest in rabbit",JHP Hui,108,36.00%,36.00%
Anchoring Dental Implant in Tissue-Engineered Bone Using Composite Scaffold: A Preliminary Study in Nude Mouse Model,Anchoring dental implant in tissue-engineered bone using composite scaffold: a preliminary study in nude mouse model,,24,18.75%,18.75%
Use of Bone Marrow Stromal Cells for Tendon Graft-to-Bone HealingHistological and Immunohistochemical Studies in a Rabbit Model,Use of bone marrow stromal cells for tendon graft-to-bone healing,EH Lee,164,17.65%,30.00%
Viability of Allogeneic Bone Marrow Stromal Cells Following Local Delivery Into Patella Tendon in Rabbit Model,Viability of allogeneic bone marrow stromal cells following local delivery into patella tendon in rabbit model,EH Lee,59,18.75%,18.75%
Chondroitin Sulfate in Palatal Wound Healing,Chondroitin sulfate in palatal wound healing,XH Zou T Cao,46,33.33%,33.33%
Knitted Poly-lactide-co-glycolide Scaffold Loaded with Bone Marrow Stromal Cells in Repair and Regeneration of Rabbit Achilles Tendon,Knitted poly-lactide-co-glycolide scaffold loaded with bone marrow stromal cells in repair and regeneration of rabbit Achilles tendon,A Thambyah,315,35.29%,35.29%
Tissue-Engineering Approach to the Repair and Regeneration of Tendons and Ligaments,Tissue-engineering approach to the repair and regeneration of tendons and ligaments,JCH Goh,175,45.45%,45.45%
The Efficacy of Bone Marrow Stromal Cell-Seeded Knitted PLGA Fiber Scaffold for Achilles Tendon Repair,The Efficacy of Bone Marrow Stromal Cell‐Seeded Knitted PLGA Fiber Scaffold for Achilles Tendon Repair,,78,93.33%,93.33%
Generalized Equalization Model for Image Enhancement.,Generalized equalization model for image enhancement,H Xu G Zhai X Wu X Yang,32,33.33%,33.33%
A learning-based method for compressive image recovery.,A learning-based method for compressive image recovery,W Dong G Shi X Wu,8,85.71%,85.71%
Joint segmentation and pairing of multispectral chromosome images.,Joint segmentation and pairing of multispectral chromosome images,Y Zhao SG Kong,2,87.50%,87.50%
LED Backlight Adjustment for Backward-Compatible Stereoscopic Display.,LED backlight adjustment for backward-compatible stereoscopic display,L Jiao X Wu,2,28.57%,28.57%
Temporal Psychovisual Modulation: A New Paradigm of Information Display [Exploratory DSP].,Temporal psychovisual modulation: A new paradigm of information display [exploratory dsp],X Wu G Zhai,42,27.27%,27.27%
Optimal Local Dimming for LC Image Formation With Controllable Backlighting.,Optimal local dimming for LC image formation with controllable backlighting,X Wu,14,30.00%,30.00%
$\ell_{2}$ Optimized Predictive Image Coding With $\ell_{\infty}$ Bound., Optimized Predictive Image Coding With  Bound,S Dumitrescu X Wu,13,62.50%,71.43%
Color demosaicking with an image formation model and adaptive PCA.,Color demosaicking with an image formation model and adaptive PCA,X Wu G Shi,13,90.00%,90.00%
Model-based adaptive resolution upconversion of degraded images.,Model-based adaptive resolution upconversion of degraded images,X Wu X Zhang G Shi,2,85.71%,85.71%
Image reconstruction with locally adaptive sparsity and nonlocal robust regularization.,Image reconstruction with locally adaptive sparsity and nonlocal robust regularization,W Dong G Shi X Li L Zhang X Wu,53,90.00%,90.00%
A Psychovisual Quality Metric in Free-Energy Principle.,A psychovisual quality metric in free-energy principle,G Zhai X Wu X Yang W Lin,109,28.57%,28.57%
Model-Assisted Adaptive Recovery of Compressed Sensing with Imaging Applications.,Model-assisted adaptive recovery of compressed sensing with imaging applications,X Wu W Dong G Shi,40,22.22%,22.22%
Edge-Based Perceptual Image Coding.,Edge-based perceptual image coding,X Wu G Shi X Wang,11,0.00%,0.00%
Binned Progressive Quantization for Compressive Sensing.,Binned progressive quantization for compressive sensing,L Wang X Wu G Shi,24,33.33%,33.33%
l2 Restoration of l∞-Decoded Images Via Soft-Decision Estimation., Restoration of -Decoded Images Via Soft-Decision Estimation,J Zhou X Wu L Zhang,16,62.50%,71.43%
On Computation of Performance Bounds of Optimal Index Assignment.,On computation of performance bounds of optimal index assignment,X Wu HD Mittelmann,7,33.33%,33.33%
Adaptive Sequential Prediction of Multidimensional Signals With Applications to Lossless Image Coding.,Adaptive sequential prediction of multidimensional signals with applications to lossless image coding,X Wu G Zhai X Yang,69,25.00%,25.00%
A Linear Programming Approach for Optimal Contrast-Tone Mapping.,A linear programming approach for optimal contrast-tone mapping,X Wu,73,25.00%,25.00%
Image Deblurring and Super-Resolution by Adaptive Sparse Domain Selection and Adaptive Regularization.,Image deblurring and super-resolution by adaptive sparse domain selection and adaptive regularization,W Dong L Zhang G Shi X Wu,755,33.33%,33.33%
Layered Multicast With Inter-Layer Network Coding for Multimedia Streaming.,Layered multicast with inter-layer network coding for multimedia streaming,S Dumitrescu X Wu,31,22.22%,22.22%
Context-based adaptive image resolution upconversion.,Context-based adaptive image resolution upconversion,G Shi W Dong X Wu L Zhang,13,80.00%,80.00%
Index assignment optimization for joint source-channel MAP decoding.,Index assignment optimization for joint source-channel MAP decoding,X Wu,6,87.50%,87.50%
Achieving the rate-distortion bound with low-density generator matrix codes.,Achieving the rate-distortion bound with low-density generator matrix codes,J Chen,15,88.89%,88.89%
Spatial-Temporal Color Video Reconstruction From Noisy CFA Sequence.,Spatial-temporal color video reconstruction from noisy CFA sequence,L Zhang W Dong X Wu G Shi,14,12.50%,12.50%
Joint Color Decrosstalk and Demosaicking for CFA Cameras.,Joint color decrosstalk and demosaicking for CFA cameras,X Wu,13,50.00%,50.00%
On the sum rate of Gaussian multiterminal source coding: new proofs and results.,On the sum rate of Gaussian multiterminal source coding: New proofs and results,J Chen X Wu,43,84.62%,84.62%
On Linfinity Properties of Multiresolution Scalar Quantizers.,AI-WSN: adaptive and intelligent wireless sensor networks,,2,0.00%,0.00%
On explicit formulas for bandwidth and antibandwidth of hypercubes.,On explicit formulas for bandwidth and antibandwidth of hypercubes,X Wu S Dumitrescu,22,88.89%,88.89%
Context-based entropy coding in AVS video coding standard.,Context-based entropy coding in AVS video coding standard,L Zhang N Zhang D Zhao X Wu,20,87.50%,87.50%
Low Bit-Rate Image Compression via Adaptive Down-Sampling and Constrained Least Squares Upconversion.,Low bit-rate image compression via adaptive down-sampling and constrained least squares upconversion,X Wu,75,25.00%,25.00%
PCA-Based Spatially Adaptive Denoising of CFA Images for Single-Sensor Digital Cameras.,PCA-based spatially adaptive denoising of CFA images for single-sensor digital cameras,L Zhang X Wu,137,27.27%,27.27%
Robust Color Demosaicking With Adaptation to Varying Spectral Correlations.,Robust color demosaicking with adaptation to varying spectral correlations,X Wu X Yang,36,22.22%,22.22%
On properties of locally optimal multiple description scalar quantizers with convex cells.,On properties of locally optimal multiple description scalar quantizers with convex cells,S Dumitrescu X Wu,17,91.67%,91.67%
Resource-Scalable Joint Source-Channel MAP and MMSE Estimation of Multiple Descriptions.,Resource-scalable joint source-channel MAP and MMSE estimation of multiple descriptions,X Wu,6,40.00%,40.00%
On the complexity of joint source-channel decoding of Markov sequences over memoryless channels.,On the complexity of joint source-channel decoding of Markov sequences over memoryless channels,S Dumitrescu X Wu,8,92.31%,92.31%
Efficient Multiple-Description Image Coding Using Directional Lifting-Based Transform.,Efficient multiple-description image coding using directional lifting-based transform,Y Lu F Wu X Wu,38,12.50%,12.50%
Image Interpolation by Adaptive 2-D Autoregressive Modeling and Soft-Decision Estimation.,Image interpolation by adaptive 2-D autoregressive modeling and soft-decision estimation,X Wu,509,40.00%,40.00%
Rainbow Network Flow of Multiple Description Codes.,Rainbow network flow of multiple description codes,X Wu B Ma,25,28.57%,28.57%
Alphabet Partitioning Techniques for Semiadaptive Huffman Coding of Large Alphabets.,Alphabet partitioning techniques for semiadaptive huffman coding of large alphabets,YJ Chiang N Memon,6,30.00%,30.00%
Adaptive Directional Lifting-Based Wavelet Transform for Image Coding.,Adaptive directional lifting-based wavelet transform for image coding,F Wu X Wu S Li H Li,254,25.00%,25.00%
On Rate-Distortion Models for Natural Images and Wavelet Coding Performance.,On rate-distortion models for natural images and wavelet coding performance,X Wu,12,30.00%,30.00%
Color Reproduction From Noisy CFA Data of Single Sensor Digital Cameras.,Color reproduction from noisy CFA data of single sensor digital cameras,L Zhang X Wu D Zhang,65,27.27%,27.27%
Lagrangian Optimization of Two-Description Scalar Quantizers.,Lagrangian optimization of two-description scalar quantizers,S Dumitrescu X Wu,14,33.33%,33.33%
Efficient Algorithms for Optimal Uneven Protection of Single and Multiple Scalable Code Streams Against Packet Erasures.x,Efficient algorithms for optimal uneven protection of single and multiple scalable code streams against packet erasures,S Dumitrescu X Wu,11,25.00%,25.00%
GEL: a novel genotype calling algorithm using empirical likelihood.,GEL: a novel genotype calling algorithm using empirical likelihood,DL Nicolae NJ Cox,25,88.89%,88.89%
On the application of cross correlation function to subsample discrete time delay estimation.,On the application of cross correlation function to subsample discrete time delay estimation,L Zhang X Wu,33,92.31%,92.31%
On Interpolation and Resampling of Discrete Data.,On interpolation and resampling of discrete data,PD Tafti S Shirani X Wu,7,42.86%,42.86%
Length-Constrained MAP Decoding of Variable-Length Encoded Markov Sequences.,Length-constrained MAP decoding of variable-length encoded Markov sequences,X Wu,7,37.50%,37.50%
Temporal color video demosaicking via motion estimation and data fusion.,Temporal color video demosaicking via motion estimation and data fusion,X Wu L Zhang,24,90.00%,90.00%
Context quantization by kernel Fisher discriminant.,Context quantization by kernel Fisher discriminant,X Wu P Franti,15,83.33%,83.33%
Lossless compression of color mosaic images.,Lossless compression of color mosaic images,X Wu,312,83.33%,83.33%
An edge-guided image interpolation algorithm via directional filtering and data fusion.,An edge-guided image interpolation algorithm via directional filtering and data fusion,L Zhang X Wu,580,90.91%,90.91%
Improvement of Color Video Demosaicking in Temporal Domain.,Improvement of color video demosaicking in temporal domain,X Wu L Zhang,28,37.50%,37.50%
Optimal Two-Description Scalar Quantizer Design.,Optimal two-description scalar quantizer design,S Dumitrescu X Wu,17,20.00%,20.00%
Fast chromosome karyotyping by auction algorithm.,Fast chromosome karyotyping by auction algorithm,X Wu S Dumitrescu P Biyani,3,83.33%,83.33%
Canny Edge Detection Enhancement by Scale Multiplication.,Canny edge detection enhancement by scale multiplication,L Zhang X Wu,445,28.57%,28.57%
Real-time lossless compression of mosaic video sequences.,Real-time lossless compression of mosaic video sequences,L Zhang X Wu,11,85.71%,85.71%
Joint Classification and Pairing of Human Chromosomes.,Joint classification and pairing of human chromosomes,P Biyani X Wu,19,42.86%,42.86%
Multiscale LMMSE-Based Image Denoising With Optimal Wavelet Selection.,Multiscale LMMSE-based image denoising with optimal wavelet selection,L Zhang X Wu,139,12.50%,12.50%
On multirate optimality of JPEG2000 code stream.,On multirate optimality of JPEG2000 code stream,X Wu S Dumitrescu,21,85.71%,85.71%
Color demosaicking via directional linear minimum mean square-error estimation.,Color demosaicking via directional linear minimum mean square-error estimation,L Zhang X Wu,315,88.89%,88.89%
Wavelet coding of volumetric medical images for high throughput and operability.,Wavelet coding of volumetric medical images for high throughput and operability,X Wu,46,90.91%,90.91%
Directly operable image representation of multiscale primal sketch.,Directly operable image representation of multiscale primal sketch,X Wu,8,87.50%,87.50%
Algorithms for optimal multi-resolution quantization.,Algorithms for optimal multi-resolution quantization,S Dumitrescu X Wu,19,80.00%,80.00%
Optimal context quantization in lossless compression of image data sequences.,Optimal context quantization in lossless compression of image data sequences,X Wu,33,90.00%,90.00%
Primary-consistent soft-decision color demosaicking for digital cameras (patent pending).,Primary-consistent soft-decision color demosaicking for digital cameras (patent pending),X Wu,173,88.89%,88.89%
Monotonicity-based fast algorithms for MAP estimation of Markov sequences over noisy channels.,Monotonicity-based fast algorithms for MAP estimation of Markov sequences over noisy channels,X Wu S Dumitrescu,23,91.67%,91.67%
Wavelet Estimation of Fractional Brownian Motion Embedded in a Noisy Environment.,Wavelet estimation of fractional Brownian motion embedded in a noisy environment,L Zhang X Wu,10,45.45%,45.45%
Globally optimal uneven error-protected packetization of scalable code streams.,Globally optimal uneven error-protected packetization of scalable code streams,S Dumitrescu X Wu,125,88.89%,88.89%
Multiresolution modeling and estimation of multisensor data.,Multiresolution modeling and estimation of multisensor data,L Zhang X Wu H Zhang,50,85.71%,85.71%
Noisy Signal Compression by Wavelet Transform with Optimal Downsampling.,Noisy signal compression by wavelet transform with optimal downsampling,L Zhang,1,33.33%,33.33%
Hybrid inter- and intra-wavelet scale image restoration.,Hybrid inter-and intra-wavelet scale image restoration,L Zhang X Wu,57,57.14%,66.67%
Lossy-to-Lossless Compression of Medical Volumetric Data Using Three-dimensional Integer Wavelet Transforms.,Lossy-to-lossless compression of medical volumetric data using three-dimensional integer wavelet transforms,Z Xiong X Wu,177,9.09%,9.09%
Detection of LSB steganography via sample pair analysis.,Detection of LSB steganography via sample pair analysis,S Dumitrescu X Wu,696,87.50%,87.50%
Fast Trellis-Coded Color Quantization of Images.,Fast trellis-coded color quantization of images,Z Xiong,1,33.33%,33.33%
On packetization of embedded multimedia bitstreams.,On packetization of embedded multimedia bitstreams,X Wu Z Xiong,70,83.33%,83.33%
Linfinity constrained high-fidelity image compression via adaptive context modeling.,AI-WSN: adaptive and intelligent wireless sensor networks,,2,11.11%,14.29%
Context-based lossless interband compression-extending CALIC.,Context-based lossless interband compression-extending CALIC,X Wu N Memon,218,80.00%,80.00%
Conditional entropy coding of VQ indexes for image compression.,Conditional entropy coding of VQ indexes for image compression,X Wu,17,88.89%,88.89%
Linfin-Constrained near-lossless image compression using weighted finite automata encoding.,L∞-Constrained near-lossless image compression using weighted finite automata encoding,X Wu,8,77.78%,77.78%
Recent Developments in Context-Based Predictive Techniques for Lossless Image Compression.,Recent developments in context-based predictive techniques for lossless image compression,N Memon X Wu,132,30.00%,30.00%
On Minimizing the Lengths of Checking Sequences.,On minimizing the lengths of checking sequences,X Wu,114,42.86%,42.86%
"Context-based, adaptive, lossless image coding.","Context-based, adaptive, lossless image coding",X Wu N Memon,1148,80.00%,80.00%
"Lossless compression of continuous-tone images via context selection, quantization, and modeling.","Lossless compression of continuous-tone images via context selection, quantization, and modeling",X Wu,359,90.91%,90.91%
Optimal binary vector quantization via enumeration of covering codes.,Optimal binary vector quantization via enumeration of covering codes,,3,88.89%,88.89%
Fast Algorithms for Minimum Matrix Norm with Application in Computer Graphics.,Fast algorithms for minimum matrix norm with application in computer graphics,K Zhang X Wu,0,36.36%,36.36%
YIQ vector quantization in a new color palette architecture.,YIQ vector quantization in a new color palette architecture,X Wu,40,88.89%,88.89%
A segmentation-based predictive multiresolution image coder.,A segmentation-based predictive multiresolution image coder,X Wu,30,83.33%,83.33%
Progressive Image Coding by Hierarchical Linear Approximation.,Progressive image coding by hierarchical linear approximation,X Wu,3,28.57%,28.57%
Acceleration of the LBG algorithm.,Acceleration of the LBG algorithm,X Wu,33,80.00%,80.00%
Adaptive Split-and-Merge Segmentation Based on Piecewise Least-Square Approximation.,Adaptive split-and-merge segmentation based on piecewise least-square approximation,X Wu,129,25.00%,25.00%
Quantizer monotonicities and globally optimal scalar quantizer design.,Quantizer monotonicities and globally optimal scalar quantizer design,X Wu K Zhang,45,87.50%,87.50%
Visual coding by optimal graph-coloring.,Visual coding by optimal graph-coloring,X Wu,0,80.00%,80.00%
On convergence of Lloyd's method I.,Exponential rate of convergence for Lloyd's method I,J Kieffer,49,66.67%,50.00%
Image coding by adaptive tree-structured segmentation.,Image coding by adaptive tree-structured segmentation,X Wu,78,83.33%,83.33%
Color Quantization by Dynamic Programming and Principal Analysis.,Color quantization by dynamic programming and principal analysis,X Wu,178,37.50%,37.50%
Optimal Quantization by Matrix Searching.,Optimal quantization by matrix searching,X Wu,52,40.00%,40.00%
Optimal bi-level quantization and its application to multilevel quantization.,Optimal bi-level quantization and its application to multilevel quantization,X Wu,5,100.00%,88.89%
Fast line scan-conversion.,Fast line scan-conversion,B Wyvill X Wu,69,66.67%,66.67%
On Properties of Discretized Convex Curves.,On properties of discretized convex curves,X Wu,9,33.33%,33.33%
Double-step incremental generation of lines and circles.,Double-step incremental generation of lines and circles,X Wu,129,85.71%,85.71%
Microplasma Technology and Its Applications in Analytical Chemistry,Microplasma technology and its applications in analytical chemistry,,35,37.50%,37.50%
A low cost fiber-optic humidity sensor based on silica sol–gel film,A low cost fiber-optic humidity sensor based on silica sol–gel film,,42,100.00%,100.00%
Current Status of Methods and Techniques for Breath Analysis,Current status of methods and techniques for breath analysis,,155,44.44%,44.44%
Bacterial inactivation using a low-temperature atmospheric plasma brush sustained with argon gas,Bacterial inactivation using a low‐temperature atmospheric plasma brush sustained with argon gas,QS Yu,85,91.67%,91.67%
Bacterial Deactivation Using a Low Temperature Argon Atmospheric Plasma Brush with Oxygen Addition,Bacterial deactivation using a low temperature argon atmospheric plasma brush with oxygen addition,Q Yu,38,23.08%,23.08%
Optical fiber evanescent wave sensor for oxygen deficiency detection,Optical fiber evanescent wave sensor for oxygen deficiency detection,,34,100.00%,100.00%
Studies towards understanding the mechanism of organic reagent enhancement in flame and plasma atomic absorption spectrometry,Studies towards understanding the mechanism of organic reagent enhancement in flame and plasma atomic absorption spectrometry,,2,100.00%,100.00%
Optical fiber-based evanescent ammonia sensor,Optical fiber-based evanescent ammonia sensor,,140,100.00%,100.00%
Development of Alternative Plasma Sources for Cavity Ring-Down Measurements of Mercury,Development of alternative plasma sources for cavity ring-down measurements of mercury,C Wang,26,36.36%,36.36%
Uranium emission spectra with a low power microwave plasma source,Uranium emission spectra with a low power microwave plasma source,C Wang,12,100.00%,100.00%
Cavity ringdown measurements of mercury and its hyperfine structures at 254 nm in an atmospheric microwave plasma: spectral interference and analytical performance,Cavity ringdown measurements of mercury and its hyperfine structures at 254 nm in an atmospheric microwave plasma: spectral interference and analytical …,C Wang,21,90.91%,95.24%
Exploration of Microwave Plasma Source Cavity Ring-Down Spectroscopy for Elemental Measurements,Exploration of microwave plasma source cavity ring-down spectroscopy for elemental measurements,C Wang,26,27.27%,27.27%
Development of a polyaniline-based optical ammonia sensor,Development of a polyaniline-based optical ammonia sensor,,205,100.00%,100.00%
"A Low-Power, Atmospheric Pressure, Pulsed Plasma Source for Molecular Emission Spectrometry","A low-power, atmospheric pressure, pulsed plasma source for molecular emission spectrometry",,45,18.18%,18.18%
Mapping the ion kinetic energy in a helium microwave plasma orthogonal acceleration time-of-flight mass spectrometer,Mapping the ion kinetic energy in a helium microwave plasma orthogonal acceleration time‐of‐flight mass spectrometer,,2,93.33%,93.33%
Measurements of calcium isotopes and isotope ratios: a new method based on helium plasma source ?off�cone? sampling time�of�flight mass spectrometry,Measurements of calcium isotopes and isotope ratios: a new method based on helium plasma source “off-cone” sampling time-of-flight mass spectrometry,,10,90.00%,90.00%
An improved optical pH sensor based on polyaniline,An improved optical pH sensor based on polyaniline,,194,100.00%,100.00%
A Field-Portable Plasma Source Monitor for Real-Time Air Particulate Monitoring,A field-portable plasma source monitor for real-time air particulate monitoring,,50,20.00%,20.00%
Highly sensitive beryllium detection with microwave plasma source atomic emission spectrometry,Highly sensitive beryllium detection with microwave plasma source atomic emission spectrometry,,23,100.00%,100.00%
"A new, simple, compact GD-MIP tandem ion source for elemental time-of-flight mass spectrometry","A new, simple, compact GD-MIP tandem ion source for elemental time-of-flight mass spectrometry",,11,100.00%,100.00%
Helium Plasma Source Time-of-Flight Mass Spectrometry:  Off-Cone Sampling for Elemental Analysis,Helium plasma source time-of-flight mass spectrometry: off-cone sampling for elemental analysis,,27,16.67%,18.18%
Development and Evaluation of a Glow Discharge Microwave-Induced-Plasma Tandem Source for Time-of-Flight Mass Spectrometry,Development and evaluation of a glow discharge microwave-induced-plasma tandem source for time-of-flight mass spectrometry,,14,35.71%,35.71%
Characterization of an improved thermal ionization cavity source for mass spectrometry,Characterization of an improved thermal ionization cavity source for mass spectrometry,,12,100.00%,100.00%
Development and investigation of microwave plasma techniques in analytical atomic spectrometry,Development and investigation of microwave plasma techniques in analytical atomic spectrometry,,81,100.00%,100.00%
Instrumentation and fundamental studies on glow discharge-microwave-induced plasma (GD-MIP) tandem source for optical emission spectrometry,Instrumentation and Fundamental Studies on Glow Discharge–Microwave-Induced Plasma (GD-MIP) Tandem Source for Optical Emission Spectrometry,,11,33.33%,33.33%
Space-charge effects and ion distribution in plasma source mass spectrometry,Space‐charge effects and ion distribution in plasma source mass spectrometry,,51,90.00%,90.00%
"Characterization of a modified, low-power argon microwave plasma torch (MPT) as an atomization cell for atomic fluorescence spectrometry","Characterization of a modified, low-power argon microwave plasma torch (MPT) as an atomization cell for atomic fluorescence spectrometry",,32,100.00%,100.00%
Vapor generation of nonmetals coupled to microwave plasma-torch mass spectrometry,Vapor generation of nonmetals coupled to microwave plasma-torch mass spectrometry,,23,100.00%,100.00%
Vapor-generation assisted nebulization for nonmetal determination,Vapor-generation assisted nebulization for nonmetal determination,,8,100.00%,100.00%
Elemental mass spectrometry using a helium microwave plasma torch as an ion source,Elemental mass spectrometry using a helium microwave plasma torch as an ion source,,37,100.00%,100.00%
Desolvation effect on the analytical performance of microwave-induced plasma atomic absorption spectrometry (MIP-AAS),Desolvation effect on the analytical performance of microwave-induced plasma atomic absorption spectrometry (MIP-AAS),,17,100.00%,100.00%
Comparative studies of surfatron and microwave plasma torch sources for determination of mercury by atomic emission spectrometry,Comparative studies of surfatron and microwave plasma torch sources for determination of mercury by atomic emission spectrometry,,19,100.00%,100.00%
Study on microwave induced plasma atomic absorption spectrometry (MIP-AAS) for the determination of calcium in axial viewing mode,Study on microwave induced plasma atomic absorption spectrometry (MIP-AAS) for the determination of calcium in axial viewing mode,,7,100.00%,100.00%
Evaluation of the performance of microwave-induced plasma atomic absorption spectrometry (MIP-AAS),Evaluation of the performance of microwave-induced plasma atomic absorption spectrometry (MIP-AAS),,25,100.00%,100.00%
Electrothermal vaporization for sample introduction in microwave-induced plasma atomic absorption spectrometry,Electrothermal vaporization for sample introduction in microwave-induced plasma atomic absorption spectrometry,,15,100.00%,100.00%
Evaluation of a low-powered argon microwave plasma discharge as an atomizer for the determination of mercury by atomic fluorescence spectrometry,Evaluation of a low-powered argon microwave plasma discharge as an atomizer for the determination of mercury by atomic fluorescence spectrometry,X Kong,21,100.00%,100.00%
STUDIES ON FUNDAMENTAL CHARACTERISTICS OF A NEW ANALYTICAL SOURCE,STUDIES ON FUNDAMENTAL CHARACTERISTICS OF A NEW ANALYTICAL SOURCE,F Wang,10,100.00%,100.00%
Assessment of CMIP5 climate models and projected temperature changes over Northern Eurasia,Assessment of CMIP5 climate models and projected temperature changes over Northern Eurasia,Q Duan,44,100.00%,100.00%
Variations in global temperature and precipitation for the period of 1948 to 2010,Variations in global temperature and precipitation for the period of 1948 to 2010,Q Duan A Ye,6,100.00%,100.00%
Projected changes in temperature and precipitation in ten river basins over China in 21st century,Projected changes in temperature and precipitation in ten river basins over China in 21st century,Q Duan,31,100.00%,100.00%
Evaluating skill of seasonal precipitation and temperature predictions of NCEP CFSv2 forecasts over 17 hydroclimatic regions in China,Evaluating skill of seasonal precipitation and temperature predictions of NCEP CFSv2 forecasts over 17 hydroclimatic regions in China,Y Lang A Ye W Gong,12,100.00%,100.00%
A global soil data set for earth system modeling,A global soil data set for earth system modeling,W Shangguan Y Dai Q Duan,83,100.00%,100.00%
Would the 'real' observed dataset stand up? A critical examination of eight observed gridded climate datasets for China,Would the 'real'observed dataset stand up? A critical examination of eight observed gridded climate datasets for China,Q Duan A Ye,29,88.89%,100.00%
Hydrologic post-processing of MOPEX streamflow simulations,Hydrologic post-processing of MOPEX streamflow simulations,A Ye Q Duan X Yuan,14,100.00%,100.00%
An evaluation of post-processed TIGGE multimodel ensemble precipitation forecast in the Huai river basin,An evaluation of post-processed TIGGE multimodel ensemble precipitation forecast in the Huai river basin,Y Tao Q Duan A Ye W Gong M Xiao,10,100.00%,100.00%
An evaluation of adaptive surrogate modeling based optimization with two benchmark problems,An evaluation of adaptive surrogate modeling based optimization with two benchmark problems,C Wang Q Duan W Gong A Ye,41,100.00%,100.00%
A comprehensive evaluation of various sensitivity analysis methods: A case study with a hydrological model,A comprehensive evaluation of various sensitivity analysis methods: A case study with a hydrological model,Y Gan Q Duan W Gong Y Sun,62,100.00%,100.00%
"The impact of the South–North Water Transfer Project (CTP)'s central route on groundwater table in the Hai River basin, North China","The impact of the South–North Water Transfer Project (CTP)'s central route on groundwater table in the Hai River basin, North China",A Ye Q Duan Y Mao,12,100.00%,100.00%
